🔍 INFEASIBLE CONSTRAINTID
ESS_kW[22]                               = 0.0000
ESS_kW[23]                               = 0.0000
ESS_kW[24]                               = 0.0000
ESS_kW[25]                               = 0.0000
ESS_kW[26]                               = 0.0000
ESS_kW[27]                               = 0.0000
ESS_kW[28]                               = 0.0000
ESS_kW[29]                               = 0.0000
ESS_kW[30]                               = 0.0000
ESS_kW[31]                               = 0.0000
ESS_kW[32]                               = -0.2000
ESS_kW[33]                               = -0.1025
ESS_kW[34]                               = 0.0000
ESS_kW[35]                               = -0.2000
ESS_kW[36]                               = -0.2000
ESS_kW[37]                               = -0.2000
ESS_kW[38]                               = -0.2000
ESS_kW[39]                               = 0.0000
ESS_kW[40]                               = 0.0000
ESS_kW[41]                               = 0.0000
ESS_kW[42]                               = 0.0000
ESS_kW[43]                               = 0.0000
ESS_kW[44]                               = 0.0000
ESS_kW[45]                               = 0.0000
ESS_kW[46]                               = 0.0000
ESS_kW[47]                               = 0.0000
ESS_kW[48]                               = 0.0000
ESS_kW[49]                               = 0.0000
ESS_C_kW[0]                              = 0.0000
ESS_C_kW[1]                              = 0.0000
ESS_C_kW[2]                              = 0.0000
ESS_C_kW[3]                              = 0.0000
ESS_C_kW[4]                              = 0.0000
ESS_C_kW[5]                              = 0.0000
ESS_C_kW[6]                              = 0.0000
ESS_C_kW[7]                              = 0.0000
ESS_C_kW[8]                              = 0.0000
ESS_C_kW[9]                              = 0.0000
ESS_C_kW[10]                             = 0.0000
ESS_C_kW[11]                             = 0.0000
ESS_C_kW[12]                             = 0.0000
ESS_C_kW[13]                             = 0.0000
ESS_C_kW[14]                             = 0.0000
ESS_C_kW[15]                             = 0.0000
ESS_C_kW[16]                             = 0.0000
ESS_C_kW[17]                             = 0.0000
ESS_C_kW[18]                             = 0.0000
ESS_C_kW[19]                             = 0.0000
ESS_C_kW[20]                             = 0.0000
ESS_C_kW[21]                             = 0.0000
ESS_C_kW[22]                             = 0.0000
ESS_C_kW[23]                             = 0.0000
ESS_C_kW[24]                             = 0.0000
ESS_C_kW[25]                             = 0.0000
ESS_C_kW[26]                             = 0.0000
ESS_C_kW[27]                             = 0.0000
ESS_C_kW[28]                             = 0.0000
ESS_C_kW[29]                             = 0.0000
ESS_C_kW[30]                             = 0.0000
ESS_C_kW[31]                             = 0.0000
ESS_C_kW[32]                             = 0.0000
ESS_C_kW[33]                             = 0.0000
ESS_C_kW[34]                             = 0.0000
ESS_C_kW[35]                             = 0.0000
ESS_C_kW[36]                             = 0.0000
ESS_C_kW[37]                             = 0.0000
ESS_C_kW[38]                             = 0.0000
ESS_C_kW[39]                             = 0.0000
ESS_C_kW[40]                             = 0.0000
ESS_C_kW[41]                             = 0.0000
ESS_C_kW[42]                             = 0.0000
ESS_C_kW[43]                             = 0.0000
ESS_C_kW[44]                             = 0.0000
ESS_C_kW[45]                             = 0.0000
ESS_C_kW[46]                             = 0.0000
ESS_C_kW[47]                             = 0.0000
ESS_C_kW[48]                             = 0.0000
ESS_C_kW[49]                             = 0.0000
ESS_D_kW[0]                              = 0.0000
ESS_D_kW[1]                              = 0.0000
ESS_D_kW[2]                              = 0.0000
ESS_D_kW[3]                              = 0.0000
ESS_D_kW[4]                              = 0.0000
ESS_D_kW[5]                              = 0.0000
ESS_D_kW[6]                              = 0.0000
ESS_D_kW[7]                              = 0.0000
ESS_D_kW[8]                              = 0.0000
ESS_D_kW[9]                              = 0.0000
ESS_D_kW[10]                             = 0.0000
ESS_D_kW[11]                             = 0.0000
ESS_D_kW[12]                             = 0.0000
ESS_D_kW[13]                             = 0.0000
ESS_D_kW[14]                             = 0.0000
ESS_D_kW[15]                             = 0.0000
ESS_D_kW[16]                             = 0.0000
ESS_D_kW[17]                             = 0.0000
ESS_D_kW[18]                             = 0.0000
ESS_D_kW[19]                             = 0.0000
ESS_D_kW[20]                             = 0.0000
ESS_D_kW[21]                             = 0.0000
ESS_D_kW[22]                             = 0.0000
ESS_D_kW[23]                             = 0.0000
ESS_D_kW[24]                             = 0.0000
ESS_D_kW[25]                             = 0.0000
ESS_D_kW[26]                             = 0.0000
ESS_D_kW[27]                             = 0.0000
ESS_D_kW[28]                             = 0.0000
ESS_D_kW[29]                             = 0.0000
ESS_D_kW[30]                             = 0.0000
ESS_D_kW[31]                             = 0.0000
ESS_D_kW[32]                             = 0.0000
ESS_D_kW[33]                             = 0.0000
ESS_D_kW[34]                             = 0.0000
ESS_D_kW[35]                             = 0.0000
ESS_D_kW[36]                             = 0.0000
ESS_D_kW[37]                             = 0.0000
ESS_D_kW[38]                             = 0.0000
ESS_D_kW[39]                             = 0.0000
ESS_D_kW[40]                             = 0.0000
ESS_D_kW[41]                             = 0.0000
ESS_D_kW[42]                             = 0.0000
ESS_D_kW[43]                             = 0.0000
ESS_D_kW[44]                             = 0.0000
ESS_D_kW[45]                             = 0.0000
ESS_D_kW[46]                             = 0.0000
ESS_D_kW[47]                             = 0.0000
ESS_D_kW[48]                             = 0.0000
ESS_D_kW[49]                             = 0.0000
ESS_C_z[0]                               = 0.0000
ESS_C_z[1]                               = 0.0000
ESS_C_z[2]                               = 0.0000
ESS_C_z[3]                               = 0.0000
ESS_C_z[4]                               = 0.0000
ESS_C_z[5]                               = 0.0000
ESS_C_z[6]                               = 0.0000
ESS_C_z[7]                               = 0.0000
ESS_C_z[8]                               = 0.0000
ESS_C_z[9]                               = 0.0000
ESS_C_z[10]                              = 0.0000
ESS_C_z[11]                              = 0.0000
ESS_C_z[12]                              = 0.0000
ESS_C_z[13]                              = 0.0000
ESS_C_z[14]                              = 0.0000
ESS_C_z[15]                              = 0.0000
ESS_C_z[16]                              = 0.0000
ESS_C_z[17]                              = 0.0000
ESS_C_z[18]                              = 0.0000
ESS_C_z[19]                              = 0.0000
ESS_C_z[20]                              = 0.0000
ESS_C_z[21]                              = 0.0000
ESS_C_z[22]                              = 0.0000
ESS_C_z[23]                              = 0.0000
ESS_C_z[24]                              = 0.0000
ESS_C_z[25]                              = 0.0000
ESS_C_z[26]                              = 0.0000
ESS_C_z[27]                              = 0.0000
ESS_C_z[28]                              = 0.0000
ESS_C_z[29]                              = 0.0000
ESS_C_z[30]                              = 0.0000
ESS_C_z[31]                              = 0.0000
ESS_C_z[32]                              = 0.0000
ESS_C_z[33]                              = 0.0000
ESS_C_z[34]                              = 0.0000
ESS_C_z[35]                              = 0.0000
ESS_C_z[36]                              = 0.0000
ESS_C_z[37]                              = 0.0000
ESS_C_z[38]                              = 0.0000
ESS_C_z[39]                              = 0.0000
ESS_C_z[40]                              = 0.0000
ESS_C_z[41]                              = 0.0000
ESS_C_z[42]                              = 0.0000
ESS_C_z[43]                              = 0.0000
ESS_C_z[44]                              = 0.0000
ESS_C_z[45]                              = 0.0000
ESS_C_z[46]                              = 0.0000
ESS_C_z[47]                              = 0.0000
ESS_C_z[48]                              = 0.0000
ESS_C_z[49]                              = 0.0000
ESS_D_z[0]                               = 0.0000
ESS_D_z[1]                               = 0.0000
ESS_D_z[2]                               = 0.0000
ESS_D_z[3]                               = 0.0000
ESS_D_z[4]                               = 0.0000
ESS_D_z[5]                               = 0.0000
ESS_D_z[6]                               = 0.0000
ESS_D_z[7]                               = 0.0000
ESS_D_z[8]                               = 0.0000
ESS_D_z[9]                               = 0.0000
ESS_D_z[10]                              = 0.0000
ESS_D_z[11]                              = 0.0000
ESS_D_z[12]                              = 0.0000
ESS_D_z[13]                              = 0.0000
ESS_D_z[14]                              = 0.0000
ESS_D_z[15]                              = 0.0000
ESS_D_z[16]                              = 0.0000
ESS_D_z[17]                              = 0.0000
ESS_D_z[18]                              = 0.0000
ESS_D_z[19]                              = 0.0000
ESS_D_z[20]                              = 0.0000
ESS_D_z[21]                              = 0.0000
ESS_D_z[22]                              = 0.0000
ESS_D_z[23]                              = 0.0000
ESS_D_z[24]                              = 0.0000
ESS_D_z[25]                              = 0.0000
ESS_D_z[26]                              = 0.0000
ESS_D_z[27]                              = 0.0000
ESS_D_z[28]                              = 0.0000
ESS_D_z[29]                              = 0.0000
ESS_D_z[30]                              = 0.0000
ESS_D_z[31]                              = 0.0000
ESS_D_z[32]                              = 0.0000
ESS_D_z[33]                              = 0.0000
ESS_D_z[34]                              = 0.0000
ESS_D_z[35]                              = 0.0000
ESS_D_z[36]                              = 0.0000
ESS_D_z[37]                              = 0.0000
ESS_D_z[38]                              = 0.0000
ESS_D_z[39]                              = 0.0000
ESS_D_z[40]                              = 0.0000
ESS_D_z[41]                              = 0.0000
ESS_D_z[42]                              = 0.0000
ESS_D_z[43]                              = 0.0000
ESS_D_z[44]                              = 0.0000
ESS_D_z[45]                              = 0.0000
ESS_D_z[46]                              = 0.0000
ESS_D_z[47]                              = 0.0000
ESS_D_z[48]                              = 0.0000
ESS_D_z[49]                              = 0.0000
ESS_SoC[0]                               = 0.0467
ESS_SoC[1]                               = 0.0467
ESS_SoC[2]                               = 0.0467
ESS_SoC[3]                               = 0.0467
ESS_SoC[4]                               = 0.0467
ESS_SoC[5]                               = 0.0467
ESS_SoC[6]                               = 0.0467
ESS_SoC[7]                               = 0.0467
ESS_SoC[8]                               = 0.0557
ESS_SoC[9]                               = 0.0557
ESS_SoC[10]                              = 0.0557
ESS_SoC[11]                              = 0.0557
ESS_SoC[12]                              = 0.0733
ESS_SoC[13]                              = 0.0909
ESS_SoC[14]                              = 0.1085
ESS_SoC[15]                              = 0.1261
ESS_SoC[16]                              = 0.1261
ESS_SoC[17]                              = 0.1261
ESS_SoC[18]                              = 0.1261
ESS_SoC[19]                              = 0.1437
ESS_SoC[20]                              = 0.1437
ESS_SoC[21]                              = 0.1437
ESS_SoC[22]                              = 0.1437
ESS_SoC[23]                              = 0.1437
ESS_SoC[24]                              = 0.1437
ESS_SoC[25]                              = 0.1437
ESS_SoC[26]                              = 0.1437
ESS_SoC[27]                              = 0.1437
ESS_SoC[28]                              = 0.1437
ESS_SoC[29]                              = 0.1437
ESS_SoC[30]                              = 0.1437
ESS_SoC[31]                              = 0.1437
ESS_SoC[32]                              = 0.1437
ESS_SoC[33]                              = 0.1261
ESS_SoC[34]                              = 0.1171
ESS_SoC[35]                              = 0.1171
ESS_SoC[36]                              = 0.0995
ESS_SoC[37]                              = 0.0819
ESS_SoC[38]                              = 0.0643
ESS_SoC[39]                              = 0.0467
ESS_SoC[40]                              = 0.0467
ESS_SoC[41]                              = 0.0467
ESS_SoC[42]                              = 0.0467
ESS_SoC[43]                              = 0.0467
ESS_SoC[44]                              = 0.0467
ESS_SoC[45]                              = 0.0467
ESS_SoC[46]                              = 0.0467
ESS_SoC[47]                              = 0.0467
ESS_SoC[48]                              = 0.0467
ESS_SoC[49]                              = 0.0467
change[0]                                = 0.0000
change[1]                                = 0.0000
change[2]                                = 0.0000
change[3]                                = 0.0000
change[4]                                = 0.0000
change[5]                                = 0.0000
change[6]                                = 0.0000
change[7]                                = 0.0000
change[8]                                = 0.0000
change[9]                                = 0.0000
change[10]                               = 0.0000
change[11]                               = 0.0000
change[12]                               = 0.0000
change[13]                               = 0.0000
change[14]                               = 0.0000
change[15]                               = 0.0000
change[16]                               = 0.0000
change[17]                               = 0.0000
change[18]                               = 0.0000
change[19]                               = 0.0000
change[20]                               = 0.0000
change[21]                               = 0.0000
change[22]                               = 0.0000
change[23]                               = 0.0000
change[24]                               = 0.0000
change[25]                               = 0.0000
change[26]                               = 0.0000
change[27]                               = 0.0000
change[28]                               = 0.0000
change[29]                               = 0.0000
change[30]                               = 0.0000
change[31]                               = 0.0000
change[32]                               = 0.0000
change[33]                               = 0.0000
change[34]                               = 0.0000
change[35]                               = 0.0000
change[36]                               = 0.0000
change[37]                               = 0.0000
change[38]                               = 0.0000
change[39]                               = 0.0000
change[40]                               = 0.0000
change[41]                               = 0.0000
change[42]                               = 0.0000
change[43]                               = 0.0000
change[44]                               = 0.0000
change[45]                               = 0.0000
change[46]                               = 0.0000
change[47]                               = 0.0000
change[48]                               = 0.0000
change[49]                               = 0.0000

📏 CONSTRAINTIDE VÄÄRTUSED JA STAATUS

ess_output[0]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[1]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[2]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[3]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[4]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[5]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[6]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[7]                            : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[8]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[9]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[10]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[11]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[12]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[13]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[14]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[15]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[16]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[17]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[18]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[19]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[20]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[21]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[22]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[23]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[24]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[25]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[26]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[27]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[28]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[29]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[30]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[31]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[32]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[33]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[34]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[35]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[36]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[37]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[38]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[39]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[40]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[41]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[42]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[43]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[44]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[45]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[46]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[47]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[48]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_output[49]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[0]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[1]                            : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[2]                            : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[3]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[4]                            : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[5]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[6]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[7]                            : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[8]                            : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[9]                            : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[10]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[11]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[12]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[13]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[14]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[15]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[16]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[17]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[18]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[19]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[20]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[21]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[22]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[23]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[24]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[25]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[26]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[27]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[28]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[29]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[30]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[31]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[32]                           : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[33]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[34]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[35]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[36]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[37]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[38]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[39]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[40]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[41]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[42]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[43]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[44]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[45]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[46]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[47]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[48]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_output[49]                           : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[0]                         : body=0.047, lower=0.04666023353300726, upper=0.04666023353300726 --> ✅ OK
ess_SoC_const[1]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[2]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[3]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[4]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[5]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[6]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[7]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[8]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[9]                         : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[10]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[11]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[12]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[13]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[14]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[15]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[16]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[17]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[18]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[19]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[20]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[21]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[22]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[23]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[24]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[25]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[26]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[27]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[28]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[29]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[30]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[31]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[32]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[33]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[34]                        : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[35]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[36]                        : body=-0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[37]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[38]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[39]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[40]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[41]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[42]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[43]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[44]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[45]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[46]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[47]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[48]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
ess_SoC_const[49]                        : body=0.000, lower=0.0, upper=0.0 --> ✅ OK
pcc_power_import_limit[0]                : body=-121.046, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[1]                : body=-124.214, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[2]                : body=-126.673, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[3]                : body=-128.393, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[4]                : body=-129.345, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[5]                : body=-129.520, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[6]                : body=-128.916, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[7]                : body=-153.721, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[8]                : body=-151.354, lower=None, upper=50.0 --> ✅ OK
pcc_power_import_limit[9]                : body=-148.041, lower=None, upper=50.0 --> ✅ OK
